time,daily_max,daily_min,latitude,longitude,number,step,surface
1981-05-07,29.780304,21.869537,4.0,-73.0,0,0 days,0.0
1981-05-08,30.026031,22.434479,4.0,-73.0,0,0 days,0.0
1981-05-09,30.115448,23.05597,4.0,-73.0,0,0 days,0.0
1981-05-10,30.274658,22.862396,4.0,-73.0,0,0 days,0.0
1981-05-11,30.395294,23.13919,4.0,-73.0,0,0 days,0.0
1981-05-12,28.34085,22.540375,4.0,-73.0,0,0 days,0.0
1981-05-13,30.91858,23.042938,4.0,-73.0,0,0 days,0.0
1981-05-14,29.09732,23.335663,4.0,-73.0,0,0 days,0.0
1981-05-15,31.282745,22.500397,4.0,-73.0,0,0 days,0.0
1981-05-16,28.17627,22.25293,4.0,-73.0,0,0 days,0.0
1981-05-17,28.402985,22.716034,4.0,-73.0,0,0 days,0.0
1981-05-18,28.334259,21.73825,4.0,-73.0,0,0 days,0.0
1981-05-19,30.326141,22.598175,4.0,-73.0,0,0 days,0.0
1981-05-20,29.878143,22.094757,4.0,-73.0,0,0 days,0.0
1981-05-21,28.65512,23.66391,4.0,-73.0,0,0 days,0.0
1981-05-22,29.094513,23.028564,4.0,-73.0,0,0 days,0.0
1981-05-23,29.323242,22.525085,4.0,-73.0,0,0 days,0.0
1981-05-24,29.963287,22.186615,4.0,-73.0,0,0 days,0.0
1981-05-25,26.915833,21.832397,4.0,-73.0,0,0 days,0.0
1981-05-26,28.36264,22.197998,4.0,-73.0,0,0 days,0.0
1981-05-27,26.962677,23.194458,4.0,-73.0,0,0 days,0.0
1981-05-28,27.972198,21.978302,4.0,-73.0,0,0 days,0.0
1981-05-29,28.3638,22.32962,4.0,-73.0,0,0 days,0.0
1981-05-30,28.042908,21.410767,4.0,-73.0,0,0 days,0.0
1981-05-31,28.098175,22.624939,4.0,-73.0,0,0 days,0.0
1981-06-01,29.673767,22.069489,4.0,-73.0,0,0 days,0.0
1981-06-02,30.344452,22.256714,4.0,-73.0,0,0 days,0.0
1981-06-03,29.81186,22.697906,4.0,-73.0,0,0 days,0.0
1981-06-04,30.736053,22.414093,4.0,-73.0,0,0 days,0.0
1981-06-05,30.207367,22.481995,4.0,-73.0,0,0 days,0.0
1981-06-06,30.424347,22.249542,4.0,-73.0,0,0 days,0.0
1981-06-07,28.275757,22.183044,4.0,-73.0,0,0 days,0.0
1981-06-08,29.276398,22.89618,4.0,-73.0,0,0 days,0.0
1981-06-09,26.679535,21.837341,4.0,-73.0,0,0 days,0.0
1981-06-10,27.121063,22.249664,4.0,-73.0,0,0 days,0.0
1981-06-11,27.585968,22.430573,4.0,-73.0,0,0 days,0.0
1981-06-12,27.096497,21.815948,4.0,-73.0,0,0 days,0.0
1981-06-13,27.424469,22.183228,4.0,-73.0,0,0 days,0.0
1981-06-14,28.660248,21.539764,4.0,-73.0,0,0 days,0.0
1981-06-15,27.77005,21.98465,4.0,-73.0,0,0 days,0.0
1981-06-16,29.641327,21.456573,4.0,-73.0,0,0 days,0.0
1981-06-17,28.752563,22.058868,4.0,-73.0,0,0 days,0.0
1981-06-18,25.048615,22.003357,4.0,-73.0,0,0 days,0.0
1981-06-19,27.371185,21.342712,4.0,-73.0,0,0 days,0.0
1981-06-20,29.380768,21.848541,4.0,-73.0,0,0 days,0.0
1981-06-21,28.449066,21.745026,4.0,-73.0,0,0 days,0.0
1981-06-22,29.322357,21.777527,4.0,-73.0,0,0 days,0.0
1981-06-23,27.476654,22.163269,4.0,-73.0,0,0 days,0.0
1981-06-24,28.896545,21.092194,4.0,-73.0,0,0 days,0.0
1981-06-25,28.721954,21.29245,4.0,-73.0,0,0 days,0.0
1981-06-26,27.980255,21.75772,4.0,-73.0,0,0 days,0.0
